Layer Name,n,d,LoftQ (2B),LoftQ (4B),Loftq-LPLR (2B),Loftq-LPLR (4B)
model.layers.13.self_attn.k_proj.weight,4096,1024,0.46524114759855223,0.07614499477214884,0.4651633205232793,0.07612064562924768
model.layers.13.self_attn.v_proj.weight,4096,1024,0.4769975918799452,0.07327898456101385,0.47693227951406886,0.07327069216732858
model.layers.13.self_attn.o_proj.weight,4096,4096,0.4970174326577495,0.08004911700020888,0.4969493514297187,0.0800471906792077
model.layers.13.mlp.gate_proj.weight,14336,4096,0.49796456709817305,0.08428895443989408,0.49794929483998146,0.08429405505842448
model.layers.13.mlp.up_proj.weight,14336,4096,0.5005582859747155,0.08415757473651443,0.5005502140710253,0.08416176074297942
model.layers.13.mlp.down_proj.weight,14336,4096,0.49995214071967137,0.08440797777388247,0.4999368709318043,0.08441695661832349
model.layers.14.self_attn.q_proj.weight,4096,4096,0.48784303893731407,0.0800297588290155,0.48770174584877235,0.08003567239382242
model.layers.14.self_attn.k_proj.weight,4096,1024,0.4621996222150465,0.07690804344454541,0.46226309679164207,0.07688271439844466
model.layers.14.self_attn.v_proj.weight,4096,1024,0.4726049214916852,0.07285230042305134,0.472733244458528,0.07282349584444367
model.layers.14.self_attn.o_proj.weight,4096,4096,0.49695162122936876,0.08001072233412666,0.49697401289533616,0.08003036556456018
model.layers.14.mlp.gate_proj.weight,14336,4096,0.4962590100716785,0.08441563681330107,0.496266745555513,0.08441817931369845
model.layers.14.mlp.up_proj.weight,14336,4096,0.5003827912747145,0.08419520158868195,0.5003733441823578,0.0841947312788893
model.layers.14.mlp.down_proj.weight,14336,4096,0.5001344725735734,0.0844163516656664,0.5001103928907477,0.08441850534419498
model.layers.15.self_attn.q_proj.weight,4096,4096,0.48928139129528553,0.08050140947872148,0.48915991122152735,0.08052033343086731
model.layers.15.self_attn.k_proj.weight,4096,1024,0.4607572307659769,0.07824749061260612,0.4607390873684422,0.07819510803200952
model.layers.15.self_attn.v_proj.weight,4096,1024,0.47641271312995853,0.07321853999877143,0.4764802275625886,0.07319841550442978
model.layers.15.self_attn.o_proj.weight,4096,4096,0.4970595023889637,0.08011731613990833,0.49704372452566375,0.0801241071274627
model.layers.15.mlp.gate_proj.weight,14336,4096,0.4962921073859582,0.08415008786710744,0.49629199099540616,0.08415168823719836
model.layers.15.mlp.up_proj.weight,14336,4096,0.5005485737124595,0.08402663528709349,0.5005458187136788,0.0840293697261819
model.layers.15.mlp.down_proj.weight,14336,4096,0.5006675221119562,0.08415369308388304,0.5006681882601375,0.0841576795644057
model.layers.16.self_attn.q_proj.weight,4096,4096,0.49092689545090773,0.08021081560309425,0.4908887137650279,0.0802246051871682
model.layers.16.self_attn.k_proj.weight,4096,1024,0.46427397607282683,0.07727421576140805,0.46439331934214706,0.07725485755163325
model.layers.16.self_attn.v_proj.weight,4096,1024,0.47742768813959957,0.07328100522759684,0.4774582036457957,0.07323234591183037
model.layers.16.self_attn.o_proj.weight,4096,4096,0.4970769540467151,0.08009903542408049,0.49703089304244874,0.080097263456434
model.layers.16.mlp.gate_proj.weight,14336,4096,0.49578931437833196,0.0842511280365756,0.49580415094270536,0.08425272992784472
model.layers.16.mlp.up_proj.weight,14336,4096,0.5007574735782462,0.08409370632044841,0.5007636268637744,0.08410695240322141
model.layers.16.mlp.down_proj.weight,14336,4096,0.5008932998993584,0.08412397876461233,0.5008524709819765,0.0841365443240986
model.layers.17.self_attn.q_proj.weight,4096,4096,0.4907185477542712,0.08034823451688843,0.490615979885921,0.08034322203706679
model.layers.17.self_attn.k_proj.weight,4096,1024,0.4661211889182577,0.07581805791947253,0.4661113312597499,0.07582981872540166
model.layers.17.self_attn.v_proj.weight,4096,1024,0.47556172858792467,0.0730454174664457,0.4755384576283177,0.07302158496846563
model.layers.17.self_attn.o_proj.weight,4096,4096,0.49428284091339625,0.07994145361169677,0.49417661383234857,0.07994804284796003
model.layers.17.mlp.gate_proj.weight,14336,4096,0.49568719135835176,0.08406277541408806,0.49567413497080365,0.0840646771053179
model.layers.17.mlp.up_proj.weight,14336,4096,0.5008629171087463,0.08399538253789629,0.5008390759921844,0.08399893203287497
model.layers.17.mlp.down_proj.weight,14336,4096,0.5005539772231364,0.08409895536079881,0.5005360225258303,0.08409942812626607
model.layers.18.self_attn.q_proj.weight,4096,4096,0.48733917633790186,0.07970724633921512,0.4873507752099926,0.07971230525587299
model.layers.18.self_attn.k_proj.weight,4096,1024,0.4644389746273063,0.0778246699482013,0.46444014830604546,0.07778032356402273
model.layers.18.self_attn.v_proj.weight,4096,1024,0.476848091648389,0.07309646611413861,0.47688470840731434,0.07312554653789363
model.layers.18.self_attn.o_proj.weight,4096,4096,0.497110451461004,0.08013912243158745,0.49705245009713284,0.08015609918929074
model.layers.18.mlp.gate_proj.weight,14336,4096,0.4963797958438785,0.08391503223120801,0.4963836041639644,0.08391170466440027
model.layers.18.mlp.up_proj.weight,14336,4096,0.5009654500337068,0.08388192300491905,0.5009512226942711,0.08388658174106718
model.layers.18.mlp.down_proj.weight,14336,4096,0.5008774228926662,0.08412151871622993,0.5008657555891592,0.08411947693811621
model.layers.19.self_attn.q_proj.weight,4096,4096,0.4920428359795802,0.0804675148593825,0.49188656092021993,0.08048849967474749
model.layers.19.self_attn.k_proj.weight,4096,1024,0.46460856394693556,0.07694440925587187,0.4645549398188568,0.0769262473390112
model.layers.19.self_attn.v_proj.weight,4096,1024,0.47757030261931316,0.07329156648788607,0.47765896434289257,0.07329961348270947
model.layers.19.self_attn.o_proj.weight,4096,4096,0.49610908759064604,0.07998646869384757,0.4961471573686516,0.07999085833215948
model.layers.19.mlp.gate_proj.weight,14336,4096,0.49748542418652747,0.08377808284831816,0.49748389522896624,0.08378095430520141
model.layers.19.mlp.up_proj.weight,14336,4096,0.501085578876768,0.08377067798644126,0.5010602219898869,0.08377456165874315
model.layers.19.mlp.down_proj.weight,14336,4096,0.5010139555186094,0.0840862253056133,0.5009907205153649,0.0840887125355387
model.layers.20.self_attn.q_proj.weight,4096,4096,0.4911230906335743,0.08049720425434723,0.4911174666989929,0.08050998814032477
model.layers.20.self_attn.k_proj.weight,4096,1024,0.4659385885402896,0.07629456861753954,0.4658678275247142,0.07631508237470194
model.layers.20.self_attn.v_proj.weight,4096,1024,0.47627840739948796,0.0731594751186213,0.47622146274917665,0.07315120189008024
model.layers.20.self_attn.o_proj.weight,4096,4096,0.49768941932451044,0.08014130327099808,0.49762935681443365,0.08014382853823934
model.layers.20.mlp.gate_proj.weight,14336,4096,0.49883980101107495,0.0836139428985278,0.4988850842879386,0.08361500653758812
model.layers.20.mlp.up_proj.weight,14336,4096,0.5013690682053422,0.08367209730249657,0.5013149435088539,0.08367489596053641
model.layers.20.mlp.down_proj.weight,14336,4096,0.501503206219208,0.0838950050236891,0.5015130623465904,0.0839015006310438
model.layers.21.self_attn.q_proj.weight,4096,4096,0.49275348842955563,0.08062251711824946,0.4927021523754223,0.08062997856500285
model.layers.21.self_attn.k_proj.weight,4096,1024,0.46674042190102505,0.07564687789658579,0.46668043057516256,0.07562491333050388
model.layers.21.self_attn.v_proj.weight,4096,1024,0.47763407115263107,0.073152094807664,0.47777068120378413,0.07311933977097981
model.layers.21.self_attn.o_proj.weight,4096,4096,0.4991308574991401,0.08033982125083512,0.499025822608031,0.0803413550998144
model.layers.21.mlp.gate_proj.weight,14336,4096,0.4995252696663499,0.08352749419376937,0.49953205463825395,0.08353017915591321
model.layers.21.mlp.up_proj.weight,14336,4096,0.5016141733946776,0.08358984271030051,0.5016121454855786,0.08359189702446587
model.layers.21.mlp.down_proj.weight,14336,4096,0.5015767974896925,0.0837498089244997,0.5015428285118615,0.0837550794237163
model.layers.22.self_attn.q_proj.weight,4096,4096,0.4939529934363633,0.0807130984919462,0.4938448460193136,0.0807054189902724
model.layers.22.self_attn.k_proj.weight,4096,1024,0.4667764560627265,0.07529580213934789,0.4667877258540168,0.07531974333107254
model.layers.22.self_attn.v_proj.weight,4096,1024,0.4780127941330996,0.0733280621875135,0.47795530030859,0.07333342587636789
model.layers.22.self_attn.o_proj.weight,4096,4096,0.4988356850517004,0.08022535631256582,0.49881657603679186,0.08023155434634353
model.layers.22.mlp.gate_proj.weight,14336,4096,0.49990197182795415,0.08354297339080538,0.4998867003768194,0.08354329154603736
model.layers.22.mlp.up_proj.weight,14336,4096,0.501750260622842,0.0835855009882292,0.501709869668763,0.08359111904107996
model.layers.22.mlp.down_proj.weight,14336,4096,0.5017783351798288,0.08372391398204973,0.50176029649167,0.08372849246363934
model.layers.23.self_attn.q_proj.weight,4096,4096,0.4950377939446245,0.08096597174126317,0.4949955423953238,0.08097189887866507
model.layers.23.self_attn.k_proj.weight,4096,1024,0.4682262536643897,0.07490788354691118,0.46813707263696835,0.07491724196350344
model.layers.23.self_attn.v_proj.weight,4096,1024,0.4768680146465718,0.0732959241818774,0.47681759644676125,0.0732774878024914
model.layers.23.self_attn.o_proj.weight,4096,4096,0.4982150471536266,0.08021158022815891,0.4981659335078188,0.08021858703285077
model.layers.23.mlp.gate_proj.weight,14336,4096,0.500136384072052,0.08348820232448356,0.5001420410556309,0.08349776661563052
model.layers.23.mlp.up_proj.weight,14336,4096,0.5017047356655742,0.08355462654426812,0.5016887479684234,0.08356438684355107
model.layers.23.mlp.down_proj.weight,14336,4096,0.5017970363870687,0.0836773772860386,0.5017768212079051,0.08368572979207377
model.layers.24.self_attn.q_proj.weight,4096,4096,0.494589576527659,0.08076096368682448,0.494561903178663,0.08076553696645349
model.layers.24.self_attn.k_proj.weight,4096,1024,0.4687305053912941,0.07484451822698263,0.46862055039290207,0.07483356540049337
model.layers.24.self_attn.v_proj.weight,4096,1024,0.4784488294579133,0.07332431186040356,0.47857012845846875,0.07331862386620437
model.layers.24.self_attn.o_proj.weight,4096,4096,0.49939914569155713,0.0802728179943364,0.49937256850616274,0.08028387620264575
model.layers.24.mlp.gate_proj.weight,14336,4096,0.5002519434221862,0.08348954161337487,0.500229310972521,0.08349487589105825
model.layers.24.mlp.up_proj.weight,14336,4096,0.5017535666406885,0.083556852396272,0.5017360694343246,0.08355767125707707
model.layers.24.mlp.down_proj.weight,14336,4096,0.5019830304331305,0.08365484816531805,0.5019605142724948,0.08365537721044577
model.layers.25.self_attn.q_proj.weight,4096,4096,0.494289046075273,0.08079783442436304,0.49424620183045054,0.08080175102861947
model.layers.25.self_attn.k_proj.weight,4096,1024,0.4691702063558297,0.07467737821879179,0.4690718005070519,0.07469797256894321
model.layers.25.self_attn.v_proj.weight,4096,1024,0.4779273653308635,0.0732372432113183,0.47793249341237504,0.07323615716857781
model.layers.25.self_attn.o_proj.weight,4096,4096,0.49894485432208074,0.08036067449283373,0.4988631043621371,0.08036491297540312
